first_name;frequency
aaron;0.00003
abbes;0.00002
abdallah;0.00015
abdel;0.00003
abdelaziz;0.00006
abdelhafid;0.00002
abdelhak;0.00003
abdelhamid;0.00006
abdelkader;0.00046
abdelkrim;0.00006
abdellah;0.00007
abdelmadjid;0.00004
abdelmajid;0.00002
abdelmalek;0.00003
abdelouahab;0.00001
abdelouahed;0.00001
abderrahim;0.00002
abderrahman;0.00003
abderrahmane;0.00012
abderrazak;0.00002
abdeslam;0.00004
abdeslem;0.00001
abdesselam;0.00002
abdesslam;0.00001
abdou;0.00008
abdoul;0.00002
abdoulaye;0.00003
abel;0.00035
abilio;0.00003
abraham;0.00004
achille;0.00011
achour;0.00003
ada;0.00005
adam;0.00011
adama;0.00002
adda;0.00002
adel;0.00002
adela;0.00002
adelaide;0.00010
adele;0.00042
adelia;0.00001
adelin;0.00002
adelina;0.00006
adeline;0.00016
adelino;0.00004
adem;0.00001
adil;0.00001
adolfo;0.00002
adolphe;0.00021
adolphine;0.00004
adrian;0.00002
adriana;0.00003
adriano;0.00004
adrien;0.00066
adrienne;0.00085
agata;0.00001
agathe;0.00011
agnan;0.00001
agnes;0.00111
agnese;0.00002
agop;0.00001
agostinho;0.00003
agostino;0.00002
agueda;0.00001
agustin;0.00002
agustina;0.00001
ahamada;0.00002
ahamadi;0.00001
ahcene;0.00006
ahmad;0.00001
ahmed;0.00091
ahmet;0.00003
aicha;0.00031
aida;0.00004
aimable;0.00002
aime;0.00083
aimee;0.00072
aissa;0.00009
aissatou;0.00002
akli;0.00005
alain;0.00802
alan;0.00004
alba;0.00002
alban;0.00009
albanie;0.00001
albano;0.00001
alberic;0.00001
albert;0.00404
alberta;0.00001
alberte;0.00028
albertina;0.00003
albertine;0.00056
alberto;0.00008
albin;0.00004
albina;0.00003
albine;0.00005
albino;0.00003
alcide;0.00004
alda;0.00004
aldjia;0.00002
aldo;0.00012
aleksandra;0.00001
alessandro;0.00002
aleth;0.00001
alex;0.00014
alexander;0.00003
alexandra;0.00011
alexandre;0.00093
alexandrine;0.00015
alexia;0.00003
alexine;0.00002
alexis;0.00037
alfonso;0.00003
alfred;0.00110
alfreda;0.00016
alfredine;0.00001
alfredo;0.00009
ali;0.00083
alia;0.00001
alice;0.00285
alicia;0.00004
alida;0.00003
aliette;0.00006
alin;0.00001
alina;0.00002
aline;0.00103
alix;0.00011
allain;0.00008
allal;0.00004
allan;0.00001
allaoua;0.00002
alma;0.00002
alois;0.00002
aloise;0.00002
aloyse;0.00005
alpha;0.00001
alphonse;0.00061
alphonsine;0.00023
alvaro;0.00003
aly;0.00001
alzira;0.00003
amable;0.00001
amadeu;0.00001
amadou;0.00003
amalia;0.00004
amand;0.00005
amanda;0.00001
amandine;0.00004
amar;0.00021
amara;0.00001
amaury;0.00002
ambre;0.00003
ambroise;0.00009
ambroisine;0.00005
amede;0.00003
amedee;0.00013
amel;0.00002
amelia;0.00006
amelie;0.00045
americo;0.00004
ameur;0.00003
amina;0.00010
aminata;0.00002
amine;0.00002
amir;0.00001
ammar;0.00014
amor;0.00006
amparo;0.00004
amy;0.00001
ana;0.00023
anabela;0.00001
anais;0.00011
anastase;0.00001
anastasia;0.00001
anastasie;0.00005
anatole;0.00003
andoche;0.00001
andre;0.01731
andrea;0.00058
andreas;0.00003
andree;0.00712
andres;0.00004
andrew;0.00003
andrzej;0.00002
ange;0.00031
ange marie;0.00001
angel;0.00016
angela;0.00023
angele;0.00154
angeles;0.00004
angelica;0.00001
angelina;0.00011
angeline;0.00012
angelino;0.00001
angelique;0.00013
angelo;0.00025
angiolina;0.00001
anh;0.00001
anibal;0.00002
anicet;0.00001
anicette;0.00001
anick;0.00003
aniela;0.00001
anis;0.00002
anissa;0.00001
anita;0.00029
anli;0.00001
ann;0.00002
anna;0.00191
annabelle;0.00001
anne;0.00535
anne laure;0.00001
anne lise;0.00001
anne marie;0.00128
anne sophie;0.00002
anneliese;0.00002
annelise;0.00001
annemarie;0.00001
annette;0.00072
annic;0.00002
annick;0.00151
annie;0.00217
annik;0.00005
annita;0.00003
annonciade;0.00003
annunziata;0.00002
anny;0.00016
anselme;0.00004
anselmo;0.00001
antero;0.00001
anthony;0.00026
antoine;0.00252
antoinette;0.00205
anton;0.00002
antoni;0.00001
antonia;0.00043
antonietta;0.00004
antonin;0.00018
antonina;0.00004
antonine;0.00005
antonino;0.00005
antonio;0.00116
antony;0.00005
aomar;0.00002
apolline;0.00001
arab;0.00001
arcade;0.00002
arcangela;0.00001
arezki;0.00008
argentine;0.00002
ariane;0.00005
ariel;0.00001
ariste;0.00002
aristide;0.00009
arlette;0.00210
arlindo;0.00002
armance;0.00002
armand;0.00113
armande;0.00032
armandine;0.00008
armando;0.00013
armel;0.00009
armelle;0.00016
armenio;0.00001
arminda;0.00002
armindo;0.00002
arnaldo;0.00002
arnaud;0.00032
arnold;0.00002
arsene;0.00021
arthur;0.00035
artur;0.00004
arturo;0.00001
ascension;0.00003
assani;0.00003
assia;0.00002
assomption;0.00002
assunta;0.00006
astrid;0.00005
astride;0.00003
asuncion;0.00002
athanase;0.00002
atika;0.00001
attilio;0.00005
attoumane;0.00001
attoumani;0.00003
aubin;0.00002
aude;0.00003
audrey;0.00008
augusta;0.00039
auguste;0.00108
augustin;0.00034
augustina;0.00001
augustine;0.00055
augusto;0.00005
aurelia;0.00002
aurelie;0.00020
aurelien;0.00009
aurelio;0.00002
aurora;0.00004
aurore;0.00007
avelino;0.00003
axel;0.00004
axelle;0.00001
aya;0.00001
aymeric;0.00002
ayoub;0.00002
ayse;0.00003
aziz;0.00003
aziza;0.00003
bacar;0.00002
bachir;0.00008
baco;0.00001
bakary;0.00002
bakhta;0.00002
baptiste;0.00015
baptistin;0.00001
baptistine;0.00007
baraka;0.00001
barbara;0.00009
barbe;0.00004
barry;0.00002
barthelemy;0.00013
bartolome;0.00001
basile;0.00008
bastien;0.00003
battista;0.00001
baya;0.00004
beatrice;0.00072
beatrix;0.00006
beatriz;0.00002
bechir;0.00004
belaid;0.00003
belgacem;0.00002
belkacem;0.00008
ben;0.00003
benaissa;0.00003
benamar;0.00003
benaouda;0.00001
benedicte;0.00010
benita;0.00001
benito;0.00005
benjamin;0.00023
benoit;0.00038
benoite;0.00003
berangere;0.00003
berengere;0.00002
berenice;0.00002
bernadette;0.00263
bernadine;0.00001
bernard;0.01110
bernardin;0.00001
bernardine;0.00005
bernardino;0.00002
bernardo;0.00001
berta;0.00002
bertha;0.00003
berthe;0.00128
berthilde;0.00001
bertin;0.00003
bertrand;0.00051
bertrande;0.00001
bettina;0.00001
betty;0.00007
biagio;0.00001
bianca;0.00001
bibi;0.00002
bilal;0.00002
binti;0.00001
blaise;0.00007
blanche;0.00056
blandine;0.00010
blas;0.00001
bleuette;0.00003
bogdan;0.00001
boina;0.00002
boleslaw;0.00003
boniface;0.00003
boris;0.00005
boualem;0.00004
bouazza;0.00001
boubacar;0.00001
bouchaib;0.00003
boudjema;0.00002
boudjemaa;0.00001
boujemaa;0.00002
boura;0.00001
boussad;0.00003
bouziane;0.00001
bouzid;0.00004
brahim;0.00019
brian;0.00004
brice;0.00005
brigitte;0.00139
bronislaw;0.00002
bronislawa;0.00005
bruna;0.00009
brunette;0.00001
bruno;0.00180
bryan;0.00001
calixte;0.00002
calogera;0.00001
calogero;0.00005
camilla;0.00001
camille;0.00164
candida;0.00001
candide;0.00001
candido;0.00001
caridad;0.00001
carine;0.00006
carl;0.00002
carla;0.00003
carlo;0.00008
carlos;0.00020
carmel;0.00002
carmela;0.00010
carmele;0.00001
carmelina;0.00001
carmelo;0.00006
carmen;0.00099
carmine;0.00002
carol;0.00003
carole;0.00029
carolina;0.00004
caroline;0.00031
casimir;0.00016
casimira;0.00002
casimiro;0.00001
cataldo;0.00002
catalina;0.00003
caterina;0.00008
catharina;0.00001
catherine;0.00248
cathy;0.00006
cecile;0.00168
cecilia;0.00007
cedric;0.00027
celeste;0.00006
celestin;0.00011
celestina;0.00001
celestine;0.00018
celestino;0.00001
celia;0.00002
celina;0.00009
celine;0.00049
cesar;0.00012
cesare;0.00001
cesarina;0.00001
cesarine;0.00005
cesira;0.00002
chabane;0.00003
chabha;0.00001
chaib;0.00001
chan;0.00001
chana;0.00001
chantal;0.00200
chantale;0.00003
charlemagne;0.00002
charles;0.00343
charlette;0.00005
charlie;0.00003
charline;0.00015
charlot;0.00001
charlotte;0.00092
charly;0.00004
cheikh;0.00001
cherif;0.00007
cherifa;0.00006
chloe;0.00004
chretien;0.00001
christa;0.00003
christel;0.00005
christele;0.00004
christelle;0.00026
christian;0.00678
christiane;0.00596
christianne;0.00022
christina;0.00004
christine;0.00136
christophe;0.00143
christopher;0.00008
chrystel;0.00001
chrystele;0.00001
chrystelle;0.00002
cindy;0.00004
cladie;0.00001
clair;0.00002
claire;0.00116
clairette;0.00003
clara;0.00015
clarisse;0.00009
claude;0.01237
claudette;0.00108
claudia;0.00021
claudie;0.00025
claudine;0.00192
claudio;0.00003
claudius;0.00014
claudy;0.00003
clelia;0.00001
clemence;0.00032
clement;0.00053
clementina;0.00001
clementine;0.00017
clotaire;0.00007
clothilde;0.00002
clotilde;0.00033
clovis;0.00008
colbert;0.00001
colette;0.00451
colin;0.00002
collette;0.00003
colombe;0.00003
conceicao;0.00002
concepcion;0.00004
conception;0.00008
concetta;0.00008
cong;0.00001
constance;0.00013
constant;0.00022
constantin;0.00005
consuelo;0.00003
coralie;0.00004
corentin;0.00007
corentine;0.00002
corine;0.00007
corinne;0.00051
cornelis;0.00001
corrado;0.00002
cosette;0.00002
cosimo;0.00001
cristina;0.00003
cristobal;0.00001
cynthia;0.00002
cyprien;0.00006
cyprienne;0.00002
cyr;0.00002
cyriaque;0.00002
cyril;0.00019
cyrille;0.00017
czeslaw;0.00003
czeslawa;0.00002
dahbia;0.00002
daisy;0.00003
dalia;0.00001
dalila;0.00005
damien;0.00021
damienne;0.00001
daniel;0.00814
daniela;0.00002
daniele;0.00111
danielle;0.00205
danilo;0.00001
dante;0.00003
dany;0.00015
daoud;0.00002
daphne;0.00001
dario;0.00002
dariusz;0.00001
david;0.00106
davide;0.00001
dea;0.00001
deborah;0.00001
dehbia;0.00002
delfina;0.00002
delphin;0.00002
delphine;0.00022
demba;0.00002
denis;0.00179
denise;0.00900
denize;0.00001
dennis;0.00001
denys;0.00002
denyse;0.00004
deolinda;0.00005
derek;0.00001
desire;0.00032
desiree;0.00012
diamantino;0.00002
diana;0.00004
diane;0.00003
didier;0.00243
diego;0.00008
dieter;0.00001
dieudonne;0.00002
dimitri;0.00007
dina;0.00007
dino;0.00003
djamal;0.00002
djamel;0.00005
djamila;0.00007
djelloul;0.00003
djemaa;0.00002
djemai;0.00001
djibril;0.00002
djida;0.00001
djilali;0.00006
djillali;0.00002
djouher;0.00002
dolly;0.00004
dolores;0.00034
domenica;0.00004
domenico;0.00011
domingo;0.00003
domingos;0.00006
dominica;0.00002
dominique;0.00395
don;0.00002
donald;0.00003
donat;0.00001
donatien;0.00002
donatienne;0.00003
donato;0.00002
dora;0.00004
doria;0.00001
doriane;0.00001
doris;0.00006
dorothee;0.00009
dragan;0.00001
driss;0.00008
dusan;0.00001
dylan;0.00004
echat;0.00003
edda;0.00001
eddie;0.00003
eddy;0.00008
eden;0.00002
edgar;0.00006
edgard;0.00015
edith;0.00101
edithe;0.00006
edmee;0.00014
edmond;0.00112
edmonde;0.00020
edouard;0.00107
eduardo;0.00004
edward;0.00004
edwige;0.00018
edwin;0.00001
egidio;0.00003
eglantine;0.00005
el;0.00025
elda;0.00005
elena;0.00011
eleonora;0.00002
eleonore;0.00013
elfriede;0.00005
elia;0.00008
eliane;0.00287
elianne;0.00008
elias;0.00002
elie;0.00069
eliette;0.00021
elif;0.00001
elina;0.00002
eline;0.00002
elio;0.00002
elisa;0.00024
elisabeth;0.00188
elisabetta;0.00002
elise;0.00131
elisee;0.00004
eliseo;0.00002
elizabeth;0.00004
ella;0.00001
ellen;0.00001
elodie;0.00012
eloi;0.00011
eloise;0.00004
elsa;0.00011
else;0.00002
elvira;0.00007
elvire;0.00009
elyane;0.00003
emelie;0.00004
emeline;0.00002
emile;0.00262
emilia;0.00025
emilie;0.00056
emilien;0.00012
emilienne;0.00123
emilio;0.00007
emine;0.00002
emma;0.00050
emmanuel;0.00064
emmanuelle;0.00015
encarnacion;0.00007
engracia;0.00001
ennio;0.00002
enrica;0.00002
enrico;0.00004
enrique;0.00004
enriqueta;0.00001
enzo;0.00007
epiphane;0.00001
eric;0.00194
erica;0.00001
erich;0.00002
erick;0.00006
erik;0.00003
erika;0.00006
ermelinda;0.00002
erminia;0.00002
erna;0.00009
ernest;0.00077
ernestine;0.00025
ernesto;0.00003
ernst;0.00002
ersilia;0.00001
erwan;0.00005
erwin;0.00003
esperance;0.00003
esperanza;0.00002
essaid;0.00001
esteban;0.00002
estelle;0.00016
ester;0.00002
esterina;0.00001
esther;0.00025
ethan;0.00005
etienne;0.00108
etiennette;0.00025
etoile;0.00001
ettore;0.00002
eudoxie;0.00001
eugene;0.00154
eugenia;0.00004
eugenie;0.00087
eugenio;0.00003
eulalia;0.00001
eulalie;0.00006
euloge;0.00001
euphrasie;0.00004
eusebe;0.00002
eusebio;0.00001
eustache;0.00001
eva;0.00030
evan;0.00001
evariste;0.00002
eve;0.00006
evelina;0.00002
eveline;0.00034
evelyn;0.00001
evelyne;0.00104
evrard;0.00001
ewa;0.00001
ewald;0.00002
expedit;0.00001
ezio;0.00003
fabien;0.00023
fabienne;0.00047
fabio;0.00001
fabrice;0.00061
fadila;0.00002
fadma;0.00001
faiza;0.00001
fanny;0.00013
fanta;0.00001
farid;0.00011
farida;0.00006
farouk;0.00002
fatiha;0.00009
fatima;0.00066
fatma;0.00039
fatna;0.00008
fatou;0.00002
fatoumata;0.00002
faustin;0.00002
faustine;0.00002
fausto;0.00001
faycal;0.00001
federico;0.00001
felice;0.00002
felicia;0.00004
felicie;0.00020
felicien;0.00009
felicienne;0.00005
felicite;0.00008
felipa;0.00001
felipe;0.00002
felisa;0.00003
felix;0.00061
ferdinand;0.00021
ferdinande;0.00001
ferdinando;0.00002
ferenc;0.00001
ferhat;0.00001
fernand;0.00242
fernanda;0.00003
fernande;0.00224
fernando;0.00021
ferruccio;0.00001
fettouma;0.00002
fidele;0.00002
filipe;0.00002
filippo;0.00003
filomena;0.00006
fiorina;0.00002
firmin;0.00012
flavie;0.00003
flavien;0.00003
fleurine;0.00001
fleury;0.00002
flora;0.00010
flore;0.00004
floreal;0.00001
florence;0.00042
florent;0.00018
florentin;0.00003
florentina;0.00002
florentine;0.00006
florette;0.00001
florian;0.00013
floriane;0.00002
florimond;0.00002
florinda;0.00002
florine;0.00003
fortune;0.00005
fortunee;0.00008
fouad;0.00003
foudil;0.00001
fouzia;0.00001
franc;0.00003
franca;0.00004
france;0.00057
francesca;0.00007
francesco;0.00020
francette;0.00015
francia;0.00004
francine;0.00184
francis;0.00320
francisca;0.00013
francisco;0.00041
francisque;0.00005
franck;0.00081
francky;0.00001
franco;0.00007
francois;0.00559
francois xavier;0.00001
francoise;0.00546
frank;0.00007
franklin;0.00001
frans;0.00001
frantz;0.00005
franz;0.00002
fred;0.00005
freddy;0.00009
frederic;0.00145
frederick;0.00002
frederique;0.00017
fredj;0.00001
fredy;0.00002
frida;0.00002
frieda;0.00007
fritz;0.00002
fulbert;0.00003
gabin;0.00003
gabriel;0.00195
gabriela;0.00001
gabriella;0.00002
gabrielle;0.00178
gaby;0.00008
gael;0.00006
gaelle;0.00005
gaetan;0.00025
gaetane;0.00005
gaetano;0.00004
galina;0.00002
gary;0.00001
gaspard;0.00003
gaston;0.00164
gauthier;0.00002
gemma;0.00002
genevieve;0.00478
gennaro;0.00002
genowefa;0.00001
geoffrey;0.00004
geoffroy;0.00003
georg;0.00001
george;0.00007
georges;0.00871
georget;0.00003
georgette;0.00447
georgina;0.00007
georgine;0.00003
gerald;0.00029
geraldine;0.00009
gerard;0.00883
gerardo;0.00002
geraud;0.00002
gerda;0.00002
gerhard;0.00003
germain;0.00050
germaine;0.00469
germinal;0.00002
gertrud;0.00002
gertrude;0.00014
gervais;0.00008
gervaise;0.00002
gery;0.00001
ghenima;0.00001
gheorghe;0.00003
ghislain;0.00012
ghislaine;0.00073
ghyslaine;0.00001
giacomo;0.00004
gian;0.00002
giancarlo;0.00001
gianfranco;0.00001
gil;0.00002
gilbert;0.00488
gilberte;0.00211
gilda;0.00005
gildas;0.00005
gilette;0.00005
gilles;0.00197
gillette;0.00011
gina;0.00010
gines;0.00003
ginette;0.00507
gino;0.00011
giorgio;0.00003
giovanna;0.00010
giovanni;0.00026
giovannina;0.00003
gisela;0.00002
gisele;0.00420
giselle;0.00028
gishlaine;0.00001
gislaine;0.00008
gislhaine;0.00002
gismonde;0.00001
giulia;0.00002
giuseppa;0.00005
giuseppe;0.00030
giuseppina;0.00006
gladys;0.00006
gloria;0.00005
godefroy;0.00002
godeleine;0.00001
gontran;0.00002
gonzague;0.00001
gonzalo;0.00001
goulven;0.00001
grace;0.00003
gracia;0.00001
gracianne;0.00001
gracieuse;0.00006
gratien;0.00004
gratienne;0.00001
grazia;0.00004
graziella;0.00004
gregoire;0.00013
gregoria;0.00002
gregorio;0.00003
gregory;0.00015
gui;0.00001
guido;0.00006
guilaine;0.00001
guillaume;0.00041
guillemette;0.00004
guiseppa;0.00001
guiseppe;0.00005
guiseppina;0.00003
guislaine;0.00002
gunter;0.00003
gunther;0.00001
gustave;0.00044
guy;0.00733
guylaine;0.00002
gwenael;0.00003
gwenaelle;0.00002
gysele;0.00001
gyslaine;0.00001
habib;0.00008
habiba;0.00004
hacene;0.00003
hachemi;0.00002
hadda;0.00004
hadi;0.00001
hadidja;0.00003
hadj;0.00003
hadjila;0.00001
hafida;0.00002
hai;0.00002
haim;0.00002
hakim;0.00003
halil;0.00001
halima;0.00014
halina;0.00002
hamada;0.00002
hamadi;0.00001
hamed;0.00002
hamid;0.00007
hamida;0.00002
hamidou;0.00001
hammou;0.00001
hamou;0.00001
hamza;0.00003
hanna;0.00003
hannelore;0.00002
hans;0.00008
harold;0.00001
harouna;0.00002
harry;0.00004
hasan;0.00003
hassan;0.00006
hassana;0.00001
hassen;0.00003
hassine;0.00001
hatice;0.00001
hawa;0.00001
hayat;0.00001
hector;0.00005
hedi;0.00005
hedwig;0.00001
hedwige;0.00004
heinz;0.00003
helder;0.00001
helen;0.00002
helena;0.00024
helene;0.00453
helga;0.00003
heliane;0.00002
heliette;0.00002
helmut;0.00003
heloise;0.00004
helyett;0.00001
helyette;0.00002
henri;0.00809
henria;0.00002
henriette;0.00335
henrique;0.00001
henry;0.00025
henryk;0.00002
herbert;0.00004
herman;0.00001
hermance;0.00003
hermann;0.00002
hermine;0.00008
herminia;0.00002
herminie;0.00002
herminio;0.00002
herta;0.00002
herve;0.00121
herveline;0.00004
hicham;0.00002
hilaire;0.00010
hilario;0.00001
hilarion;0.00001
hilda;0.00004
hilde;0.00001
hildegard;0.00004
hildegarde;0.00002
hippolyte;0.00006
hocine;0.00014
hong;0.00001
honorat;0.00001
honore;0.00014
honorine;0.00007
horacio;0.00001
horst;0.00005
hortense;0.00012
houcine;0.00002
houmadi;0.00002
houria;0.00007
houssine;0.00001
hubert;0.00154
huberte;0.00005
hugo;0.00007
hugues;0.00028
huguette;0.00322
humbert;0.00003
huseyin;0.00003
huu;0.00002
hyacinthe;0.00006
ian;0.00003
ibrahim;0.00007
ibrahima;0.00003
ida;0.00042
idalina;0.00001
idir;0.00001
idris;0.00001
idriss;0.00001
ignace;0.00008
ignacio;0.00002
ignazio;0.00001
igor;0.00002
ilda;0.00003
ilidio;0.00001
ilse;0.00003
ilyes;0.00001
imane;0.00001
imelda;0.00003
imran;0.00001
inaya;0.00002
incarnation;0.00003
ines;0.00018
inge;0.00002
ingeborg;0.00004
ingrid;0.00007
innocent;0.00001
ioan;0.00002
iolanda;0.00003
iole;0.00001
ion;0.00002
irena;0.00008
irene;0.00245
irenee;0.00014
iride;0.00001
irina;0.00001
iris;0.00003
irma;0.00034
irmgard;0.00003
irmine;0.00001
isaac;0.00010
isabel;0.00018
isabella;0.00002
isabelle;0.00156
isaura;0.00002
isidore;0.00011
isidoro;0.00001
ismael;0.00005
ismail;0.00005
israel;0.00001
issa;0.00002
istvan;0.00001
italia;0.00002
italo;0.00004
ivan;0.00011
ivette;0.00003
jacek;0.00001
jacinto;0.00002
jack;0.00040
jacki;0.00007
jackie;0.00044
jacky;0.00115
jacob;0.00009
jacobus;0.00001
jacqueline;0.01167
jacques;0.01291
jacqui;0.00002
jacquie;0.00002
jacquy;0.00006
jade;0.00002
jadwiga;0.00003
jaime;0.00004
jaky;0.00002
jamal;0.00002
jamel;0.00002
james;0.00040
jamila;0.00001
jan;0.00007
jane;0.00023
janet;0.00001
janette;0.00001
janick;0.00003
janie;0.00002
janina;0.00010
janine;0.00236
jannick;0.00002
jannine;0.00005
janos;0.00002
janusz;0.00001
jany;0.00005
jasmine;0.00003
jason;0.00002
jean;0.04223
jean baptiste;0.00028
jean bernard;0.00008
jean charles;0.00010
jean christophe;0.00012
jean claude;0.00352
jean daniel;0.00002
jean denis;0.00002
jean dominique;0.00002
jean francois;0.00080
jean georges;0.00002
jean guy;0.00002
jean jacques;0.00085
jean joseph;0.00002
jean lou;0.00002
jean louis;0.00109
jean loup;0.00004
jean luc;0.00128
jean marc;0.00080
jean marcel;0.00002
jean marie;0.00136
jean maurice;0.00002
jean michel;0.00088
jean noel;0.00012
jean pascal;0.00004
jean patrice;0.00001
jean patrick;0.00002
jean paul;0.00138
jean philippe;0.00020
jean pierre;0.00376
jean rene;0.00005
jean robert;0.00002
jean yves;0.00044
jeanette;0.00002
jeanine;0.00164
jeaninne;0.00002
jeanne;0.01288
jeanne marie;0.00003
jeannette;0.00056
